Measurement,Reference material,Si,Fe,Mg,Ti,Ni,Zn,Cu,Mn,Pb,Sn,Cr,Al (100-summa)
1,Pech. 68451,0.07,0.1,0.41,0.04,0.04,0.18,0.06,1.45,0.0,0.0,0.0,97.6
2,Gr채nges al 6958-v-335,0.18,0.35,2.03,0.06,0.0,6.08,1.35,0.45,0.0,0.0,0.1,89.4
3,4343-AA,7.46,0.53,0.036000000000000004,0.045,0.031,0.14,0.15,0.1,0.0,0.0,0.0,91.4
4,NIST1256 (values for 1256b),9.362,0.865,0.0637,0.0868,0.4135,1.011,3.478,0.3857,0.1075,0.0091,0.0572,84.2
5,_Mg,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,_Zn,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
7,_Fe,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,_Cu,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
9,_Al,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10,Pech. 1206,3.0,0.795,0.57,0.09300000000000001,0.301,0.154,4.29,0.037000000000000005,0.1,0.2,0.0,90.5
11,Gr채nges al 6958-v-331,0.12,0.3,3.04,0.028999999999999998,0.0,4.93,1.85,0.06,0.0,0.0,0.4,89.3
12,NIST 1255a,7.22,0.14,0.36,0.154,0.018000000000000002,0.084,0.12,0.053,0.0,0.0,0.0,91.8
14,NBS 1258,0.78,0.079,0.98,0.0,0.001,1.03,0.84,0.48,0.0,0.0,0.0,95.8
15,O 2:3,6.16,0.0,0.363,0.008,0.0,0.0,0.006,0.20600000000000002,0.0,0.0,0.0,93.3
16,NIST1256 (values for 1256b),9.362,0.865,0.0637,0.0868,0.4135,1.011,3.478,0.3857,0.1075,0.0091,0.0572,84.2
17,NBS 1241a,0.16,0.2,4.54,0.032,0.02,0.052000000000000005,0.05,0.38,0.0,0.0,0.0,94.5
18,J 2:3,6.12,0.0,0.32,0.003,0.0,0.0,0.005,0.016,0.0,0.0,0.0,93.5
19,Gr채nges al  6958-v-337,0.35,0.27,2.78,0.07,0.0,5.37,1.6,0.29,0.0,0.0,0.2,89.1
20,Pech. 68454,0.26,0.42,1.26,0.01,0.01,0.02,0.004,1.16,0.0,0.0,0.0,96.8
21,Pech. 1010,8.75,0.46,1.71,0.136,1.51,0.028999999999999998,2.0,0.055999999999999994,0.0,0.0,0.0,85.3
22,NIST1256 (values for 1256b),9.362,0.865,0.0637,0.0868,0.4135,1.011,3.478,0.3857,0.1075,0.0091,0.0572,84.2
24,HIT 6063,0.53,0.23,0.77,0.011000000000000001,0.004,0.031,0.006,0.024,0.0,0.0,0.0,98.4
26,Pech. 68453,0.36,0.6,1.1,0.15,0.01,0.07,0.2,0.83,0.0,0.0,0.1,96.6
27,NBS 1240,0.18,0.5,1.11,0.022000000000000002,0.004,0.052000000000000005,0.15,1.26,0.0,0.0,0.0,96.7
29,NIST 1259 (PT),0.18,0.205,2.48,0.0,0.0,5.44,1.6,0.079,0.0,0.0,0.2,89.8
30,NIST1256 (values for 1256b),9.362,0.865,0.0637,0.0868,0.4135,1.011,3.478,0.3857,0.1075,0.0091,0.0572,84.2
31,160-DO (PT),12.53,0.31,0.025,0.051,0.035,0.05,0.055999999999999994,0.033,0.0,0.0,0.0,86.8
32,O 3:3,9.5,0.0,0.391,0.013999999999999999,0.0,0.0,0.057999999999999996,0.016,0.0,0.0,0.0,90.0
33,Pech. 68452,0.16,0.31,0.88,0.06,0.02,0.1,0.11,1.14,0.0,0.0,0.0,97.2
34,SAC 1306-30,9.46,1.19,0.39,0.16,0.47,0.16,3.1,0.26,0.0,0.0,0.0,84.8
35,BAM 306,8.565,0.0,0.293,0.152,0.29600000000000004,0.887,2.636,0.33,0.2,0.1,0.0,86.6
36,Alusuisse 10/525,0.185,0.228,2.94,0.022000000000000002,0.02,0.03,0.062,0.28,0.0,0.0,0.2,95.9
37,SS 380 AG-24,9.14,1.01,0.2,0.12,0.32,0.42,3.6,0.41,0.0,0.0,0.0,84.8
38,Gr채nges al  6958-v-336,0.53,0.18,3.57,0.09,0.0,5.06,1.9,0.13,0.0,0.0,0.3,88.2
39,J 3:3,9.19,0.0,0.33899999999999997,0.004,0.0,0.0,0.006,0.008,0.0,0.0,0.0,90.5
40,NIST1256 (values for 1256b),9.362,0.865,0.0637,0.0868,0.4135,1.011,3.478,0.3857,0.1075,0.0091,0.0572,84.2
