ref_number,ref_name,S,CaO,CaF2,MgO,Al2O3,SiO2,FeO,MnO,Cr2O3,P2O5,V2O5,TiO2,MoO3,NiO,Na2O,K2O,NbO
0,H06,0.03,45.3,0.23,15.9,4.34,16.5,18.9,1.29,0.1,0.3,0.11,1.1,0.0,0.02,0.01,0.02,0.05
1,_Fe_pure,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,U08,0.2,53.0,0.0,8.94,25.5,11.8,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,O02,0.0,41.3,1.2,7.9,3.8,35.3,1.3,2.0,3.9,0.01,0.1,0.83,0.0,0.07,0.0,0.0,0.0
4,F100,0.04,14.1,0.0,3.9,25.1,40.9,3.9,0.11,0.13,0.04,0.0,0.81,0.0,0.0,5.4,5.4,0.0
5,H09,0.033,32.8,0.01,10.6,7.3,14.3,33.2,2.75,0.42,0.32,0.09,1.12,0.0,0.02,0.04,0.03,0.05
6,U04,0.0,41.0,2.81,18.4,5.72,25.4,3.46,0.49,1.08,0.0,0.4,0.22,0.0,0.0,0.0,0.0,0.0
7,O05,0.0,39.2,1.1,8.4,3.7,34.3,1.7,1.3,9.3,0.01,0.11,0.92,0.0,0.38,0.0,0.0,0.0
8,U03,0.0,33.4,1.72,7.2,6.7,5.85,35.0,3.79,2.05,0.2,0.3,0.45,1.06,0.0,0.0,0.0,0.0
9,U12,0.3,44.5,0.0,24.4,22.1,7.54,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,H12,0.03,36.4,0.01,17.4,4.31,12.8,27.7,2.86,2.59,0.27,0.09,0.77,0.0,0.02,0.01,0.04,0.06
11,_Ti_pure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
12,H04,0.034,38.4,0.04,15.5,4.07,12.8,26.7,3.35,0.52,0.31,0.08,1.07,0.0,0.02,0.01,0.02,0.05
13,H10,0.039,42.4,0.24,19.3,6.5,14.7,17.4,2.72,0.31,0.28,0.09,1.06,0.0,0.02,0.01,0.02,0.07
14,O07,0.0,44.1,1.1,9.1,3.7,32.5,2.0,2.0,4.5,0.01,0.12,0.71,0.0,0.2,0.0,0.0,0.0
15,O10,0.0,37.9,1.1,6.1,2.8,25.3,1.7,2.8,17.8,0.02,0.28,0.74,0.0,0.09,0.0,0.0,0.0
16,_Mg_pure,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,H03,0.07200000000000001,38.5,0.22,21.1,6.14,10.6,20.2,5.82,0.61,0.4,0.14,0.86,0.0,0.02,0.01,0.02,0.1
18,_Al_pure,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,H07,0.032,46.1,0.25,14.3,4.12,16.2,19.0,1.21,0.09,0.27,0.06,1.08,0.0,0.02,0.02,0.03,0.04
20,P2,0.06,16.9,0.0,14.2,16.5,39.6,9.9,0.19,0.11,0.08,0.01,1.0,0.0,0.0,1.2,0.47,0.0
21,O06,0.0,44.2,1.1,10.5,3.2,34.5,1.0,1.1,3.2,0.01,0.08,0.98,0.0,0.15,0.0,0.0,0.0
22,H08,0.031,45.1,0.19,13.0,4.05,16.1,21.0,1.26,0.1,0.28,0.06,1.09,0.0,0.02,0.01,0.03,0.04
23,U10,0.0,50.1,0.0,14.0,28.4,5.99,0.45,0.0,0.15,0.0,0.19,0.14,0.0,0.0,0.0,0.0,0.0
24,H11,0.032,38.4,0.04,11.2,5.02,14.0,26.1,2.84,2.11,0.34,0.09,0.91,0.0,0.02,0.04,0.04,0.06
25,U07,0.2,51.4,0.0,8.9,26.9,11.6,0.27,0.0,0.15,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0
26,P4,0.14,19.4,0.0,10.1,17.5,39.9,8.9,0.36,0.1,0.09,0.01,1.2,0.0,0.0,1.9,0.5,0.0
27,O08,0.0,40.3,1.2,7.7,4.8,30.9,1.7,3.3,7.6,0.01,0.18,1.45,0.0,0.18,0.0,0.0,0.0
28,O01,0.0,43.7,1.3,7.9,3.2,33.3,1.3,3.0,3.7,0.01,0.11,0.8,0.0,0.11,0.0,0.0,0.0
29,H05,0.037000000000000005,43.2,0.18,17.1,4.14,14.8,21.7,1.72,0.2,0.29,0.18,1.07,0.0,0.02,0.01,0.02,0.04
30,O04,0.0,42.5,1.6,8.9,3.2,29.0,1.3,1.6,11.0,0.01,0.17,1.12,0.0,0.33,0.0,0.0,0.0
31,U01,0.0,24.2,3.04,14.1,10.9,24.3,2.45,4.39,15.4,0.0,0.96,0.21,0.0,0.0,0.0,0.0,0.0
32,U06,0.0,33.2,2.19,14.9,8.57,13.9,12.8,5.32,6.99,0.0,0.4,0.21,0.0,0.0,0.0,0.0,0.0
33,P1,0.02,15.1,0.0,12.7,17.5,40.5,11.8,0.14,0.1,0.08,0.01,0.81,0.0,0.0,1.3,0.43,0.0
34,H01,0.024,37.8,0.18,25.0,9.61,13.2,18.3,1.99,0.2,0.23,0.18,1.03,0.0,0.02,0.01,0.02,0.07
35,U05,0.0,31.3,3.95,19.9,9.52,28.0,2.86,0.7,3.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0
36,P3,0.15,19.0,0.0,9.3,18.4,40.5,8.6,0.33,0.07,0.08,0.01,1.0,0.0,0.0,1.9,0.47,0.0
37,H02,0.040999999999999995,44.5,0.22,18.0,5.04,14.2,18.9,2.1,0.28,0.26,0.06,1.07,0.0,0.02,0.01,0.02,0.05
38,_Ni_pure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
39,U11,0.0,40.1,2.43,20.0,6.79,27.5,1.37,0.41,0.89,0.0,0.22,0.24,0.0,0.0,0.0,0.0,0.0
40,O03,0.0,44.6,1.1,9.6,2.8,35.3,0.9,1.3,2.7,0.01,0.07,0.8,0.0,0.12,0.0,0.0,0.0
41,O09,0.0,37.5,1.4,6.8,4.1,27.8,2.5,3.5,12.9,0.01,0.23,1.93,0.0,0.28,0.0,0.0,0.0
42,U02,0.0,39.8,3.63,11.8,7.91,21.5,3.87,1.36,6.98,0.0,3.0,0.28,0.0,0.0,0.0,0.0,0.0
43,U09,0.0,40.5,2.05,19.9,6.05,28.5,1.39,0.42,0.92,0.0,0.22,0.25,0.0,0.0,0.0,0.0,0.0
